act_id,category,tarl_level,audience,function_reminder,max_words,text_draft,matrix_language,switch_points,register_note,verdict,corrected_text
instr-repeat-please-response-001,instruction,any,child,Repeat the instruction more slowly because the child asked.,12,"Ṣe kó o, èmi yóò sọ ó lẹ́ẹ̀kan sí i, fara balẹ̀ gbọ́.",Yoruba,"Ṣe kó o, èmi yóò sọ ó lẹ́ẹ̀kan sí i, fara balẹ̀ gbọ́.","Speak gently and reassuringly, slowing the pace so the child feels safe and unhurried.",,
instr-facilitator-wait-001,instruction,any,child,Tell the child to wait a moment while a facilitator is called.,10,"Dúró díẹ̀, jẹ́ kí n pe olùrànlọ́wọ́ wá, okay?",Yoruba,"Dúró díẹ̀, jẹ́ kí n pe olùrànlọ́wọ́ wá, [[okay]]?",Keep the tone calm and reassuring so the child feels comfortable while briefly waiting for an adult.,,
instr-practice-drill-001,instruction,word,child,Ask the child to try a short practice drill before the real item.,12,Jẹ́ ká gbìyànjú àdánwò kékeré kan. Ready? Bẹ̀rẹ̀!,Yoruba,Jẹ́ ká gbìyànjú àdánwò kékeré kan. [[Ready?]] Bẹ̀rẹ̀!,"Keep the tone playful and energizing, like a friendly nudge to get the child excited rather than anxious about the drill.",,
praise-first-try-beginner-001,praise,beginner,child,Praise correct letter-sound on the first try.,8,"Ó yani lẹ́nu! Well done, ó tọ́ pátápátá!",Yoruba,"Ó yani lẹ́nu! [[Well done]], ó tọ́ pátápátá!","Keep it bright and celebratory — a burst of genuine delight, as a warm teacher would cheer a beginner's very first win.",,
praise-first-try-syllable-001,praise,letter_syllable,child,Praise correct syllable read on the first try.,8,"Ó dára! O ka a dáadáa, [[well done]]!",Yoruba,"Ó dára! O ka a dáadáa, [[well done]]!",Warm and celebratory — short burst of genuine excitement so the child feels immediately rewarded for their success.,,
praise-first-try-word-001,praise,word,child,Praise correct word read on the first try.,8,"Ó dára! O ka ọ̀rọ̀ náà dáadáa, well done!",Yoruba,"Ó dára! O ka ọ̀rọ̀ náà dáadáa, [[well done]]!","Warm and enthusiastic, like a proud teacher clapping — short burst of joy to reward immediate success.",,
praise-first-try-paragraph-001,praise,paragraph,child,Praise fluent reading of a full paragraph.,10,"Ó dára púpọ̀! O ka gbogbo ìtàn náà dáadáa, well done!",Yoruba,"Ó dára púpọ̀! O ka gbogbo ìtàn náà dáadáa, [[well done]]!","Warm and celebratory — use a bright, enthusiastic tone to make the child feel genuinely proud of their fluent reading.",,
praise-first-try-story-001,praise,story,child,Praise finishing a story with strong fluency.,10,"Ó dára gan! O ka ìtàn náà dáadáa, well done!",Yoruba,"Ó dára gan! O ka ìtàn náà dáadáa, [[well done]]!","Warm and celebratory — match the child's triumph with genuine enthusiasm, keeping it brief and energising.",,
praise-after-retry-word-001,praise,word,child,Praise the child for succeeding after a retry.,10,"Àgbàdo! O gbìyànjú, o ṣe é! Good job!",Yoruba,"Àgbàdo! O gbìyànjú, o ṣe é! [[Good job!]]",Warm and celebratory — mirror the excitement a kind classroom teacher shows when a child finally cracks a tricky word on a second try.,,
praise-after-retry-syllable-001,praise,letter_syllable,child,Praise the child for succeeding after a retry at syllable level.,10,"Ẹ̀yẹn ni! O ti ṣe é. Well done, ọmọ mi!",Yoruba,"Ẹ̀yẹn ni! O ti ṣe é. [[Well done]], ọmọ mi!","Warm and celebratory — brief burst of pride to reward persistence without over-explaining, pitched at a young child who just overcame a small hurdle.",,
praise-comprehension-001,praise,story,child,Praise a thoughtful answer to a comprehension question.,10,"Ìdáhùn rẹ dára gan-an! Well done, ọmọ mi!",Yoruba,"Ìdáhùn rẹ dára gan-an! [[Well done]], ọmọ mi!","Warm and celebratory, using ""ọmọ mi"" (my child) to feel personal and affirming for a young learner.",,
praise-effort-general-001,praise,any,child,Praise visible effort even when the answer wasn't fully correct.,10,"Ó dára! O gbìyànjú gan-an, mo fẹ́ràn ìyẹn!",Yoruba,"[[Ó dára!]] O gbìyànjú gan-an, mo fẹ́ràn ìyẹn!","Warm and enthusiastic, celebrating the child's effort genuinely without drawing attention to the error, so they feel safe to keep trying.",,
praise-improvement-001,praise,any,child,Note that the child is improving compared to earlier in the session.,12,"Ó dára! O ti n ṣe better ju ìbẹ̀rẹ̀ lọ, mo fẹ́ràn rẹ̀!",Yoruba,"Ó dára! O ti n ṣe [[better]] ju ìbẹ̀rẹ̀ lọ, mo fẹ́ràn rẹ̀!","Keep the tone bright and celebratory, like a proud teacher sharing in the child's success rather than evaluating them.",,
praise-confidence-001,praise,word,child,"Praise a confident, clear reading voice.",8,"Ó dára! O ka pẹ̀lú ìgboyà, well done!",Yoruba,"Ó dára! O ka pẹ̀lú ìgboyà, [[well done]]!","Keep the tone bright and celebratory — short, punchy praise lands best with young children at word-reading stage.",,
praise-self-correct-001,praise,any,child,Praise the child for catching and fixing their own mistake.,10,"Ó dára! O ṣe àṣìṣe, o sì ṣe àtúnṣe rẹ̀ dára! Well done!",Yoruba,"Ó dára! O ṣe àṣìṣe, o sì ṣe àtúnṣe rẹ̀ dára! [[Well done!]]","Warm and celebratory, making the child feel proud of their own awareness and initiative.",,
praise-creative-answer-001,praise,story,child,Praise an imaginative answer to an open-ended story question.,12,"Ìdáhùn rẹ dára gan-an! Wow, o ronú nǹkan tó ṣàánú púpọ̀!",Yoruba,"Ìdáhùn rẹ dára gan-an! [[Wow]], o ronú nǹkan tó ṣàánú púpọ̀!","Warm and genuinely delighted — celebrate the child's imagination with real enthusiasm, not stiff classroom praise.",,
praise-quiet-progress-001,praise,letter_syllable,child,Gently praise a shy or quiet child's small progress.,10,"Ó dára! Well done, ọmọ mi. Mo gbọ́ ọ dáadáa.",Yoruba,"Ó dára! [[Well done]], ọmọ mi. Mo gbọ́ ọ dáadáa.","Use a soft, warm, unhurried tone — affirming without being loud or overwhelming for a shy child.",,
hint-letter-sound-001,hint,beginner,child,Prompt the child to think of the sound the letter makes.,10,Wo lẹ́tà yìí. Ó ń ṣe ohun wo?,Yoruba,Wo lẹ́tà yìí. Ó ń ṣe ohun wo?,"Keep the tone gently curious and patient — like a kind older sibling nudging the child to think, not a teacher testing them.",,
hint-syllable-blend-001,hint,letter_syllable,child,Prompt the child to blend the two sounds in the syllable together.,12,"Jẹ́ kí a darapọ̀ mọ́ ara wọn: ṣe àkójọpọ̀, sọ wọ́n papọ̀!",Yoruba,"Jẹ́ kí a darapọ̀ mọ́ ara wọn: [[ṣe àkójọpọ̀]], sọ wọ́n papọ̀!","Use a playful, encouraging tone — like clapping two things together — to make blending feel fun and achievable for a young child.",,
hint-word-first-letter-001,hint,word,child,Prompt the child to look at the first letter of the word.,10,Wo lẹ́tà àkọ́kọ́ ọ̀rọ̀ yẹn. Èwo ni?,Yoruba,Wo lẹ́tà àkọ́kọ́ ọ̀rọ̀ yẹn. Èwo ni?,"Warm and gently prompting — no pressure, just redirecting the child's eyes to the first letter as a friendly nudge.",,
hint-word-familiar-001,hint,word,child,Suggest the word looks like one they already know.,12,Wo ọ̀rọ̀ yìí dára! Ó dà bí ọ̀rọ̀ tí o mọ̀ tẹ́lẹ̀.,Yoruba,[[Wo]] ọ̀rọ̀ yìí dára! Ó dà bí ọ̀rọ̀ tí o mọ̀ tẹ́lẹ̀.,"Keep a gentle, encouraging tone — like a kind older sibling nudging the child to trust what they already know.",,
hint-sentence-context-001,hint,paragraph,child,Suggest using the rest of the sentence as a clue for the tricky word.,14,Wo ó! Wo àwọn ọ̀rọ̀ mìíràn nínú gbolohun náà — wọn lè ràn ọ́ lọ́wọ́.,Yoruba,Wo ó! Wo àwọn ọ̀rọ̀ mìíràn nínú gbolohun náà — wọn lè ràn ọ́ lọ́wọ́.,"Use a warm, gently encouraging tone — like a patient teacher leaning in to share a little secret with the child.",,
hint-story-context-001,hint,story,child,Suggest thinking about what would make sense in the story so far.,14,Rò ó! Kí ló ṣẹlẹ̀ nínú ìtàn wa? Èyí tó bá ìtàn mu ni ó tọ̀.,Yoruba,Rò ó! Kí ló ṣẹlẹ̀ nínú ìtàn wa? Èyí tó bá ìtàn mu ni ó tọ̀.,"Warm and encouraging, using a gentle nudge to prompt story recall without any pressure, as a caring classroom teacher would.",,
hint-comprehension-001,hint,story,child,Suggest thinking back to what happened earlier in the story.,12,Rántí ohun tó ṣẹlẹ̀ ní ìbẹ̀rẹ̀ ìtàn wa. Think back!,Yoruba,Rántí ohun tó ṣẹlẹ̀ ní ìbẹ̀rẹ̀ ìtàn wa. [[Think back!]],"Warm and gently encouraging — like a patient teacher nudging the child to recall, not pressuring them.",,
hint-slow-sound-out-001,hint,letter_syllable,child,"Suggest sounding out the syllable slowly, one part at a time.",12,"Jẹ ká gbiyanju lẹ́ẹ̀kan sí i. Sọ ohun kọ̀ọ̀kan lọ́ra lọ́ra, slowly!",Yoruba,"Jẹ ká gbiyanju lẹ́ẹ̀kan sí i. Sọ ohun kọ̀ọ̀kan lọ́ra lọ́ra, [[slowly]]!","Keep the tone gently encouraging and unhurried, like a patient older friend coaxing the child — no pressure, just an invitation to try again.",,
hint-look-again-001,hint,word,child,Suggest looking at the word again carefully before answering.,10,Dúró! Wo ọ̀rọ̀ náà mọ́jú kíyèsí àárọ̀ rẹ̀ — look again!,Yoruba,Dúró! Wo ọ̀rọ̀ náà mọ́jú kíyèsí àárọ̀ rẹ̀ — [[look again]]!,"Warm but gently firm — like a caring teacher tapping the brakes on a child who is rushing, using a brief English phrase to signal a familiar classroom reset routine.",,
hint-break-it-down-001,hint,paragraph,child,Suggest breaking the sentence into smaller chunks.,12,"Jẹ́ ká gbìyànjú — broken si awọn ìpín kéékéré, ó dára?",Yoruba,"Jẹ́ ká gbìyànjú — [[broken]] si awọn ìpín kéékéré, ó dára?","Warm and inviting, framing the strategy as a shared adventure rather than a correction, so the child feels supported not criticised.",,
hint-picture-clue-001,hint,word,child,Suggest thinking of a picture that matches the word.,10,Ronu: kí ni àwòrán rẹ̀ trông bii? Draw am lórí ọkàn rẹ!,Yoruba,Ronu: kí ni àwòrán rẹ̀ trông bii? [[Draw]] am lórí ọkàn rẹ!,"Warm and playful, inviting the child to visualise rather than feel pressured — as if a kind teacher is whispering a fun secret tip.",,
hint-try-whisper-001,hint,beginner,child,Suggest whispering the sound first before saying it aloud.,10,Ẹ má bẹ̀rù! Whisper ohun náà kánkán fún mi.,Yoruba,Ẹ má bẹ̀rù! [[Whisper]] ohun náà kánkán fún mi.,"Warm and reassuring — open with comfort before the gentle instruction, so the child feels safe to try.",,
correction-letter-soft-001,correction,beginner,child,"Gently correct a misread letter sound without saying ""wrong"".",10,"Ó dára, ṣùgbọ́n ẹ̀kọ́ náà jẹ́ ""try again"" — tún gbọ́ó.",Yoruba,"Ó dára, ṣùgbọ́n ẹ̀kọ́ náà jẹ́ ""[[try again]]"" — tún gbọ́ó.","Use a soft, encouraging tone — affirm the child's effort before gently redirecting, so they feel safe to try again.",,
correction-syllable-soft-001,correction,letter_syllable,child,Gently correct a misread syllable.,10,"Ẹ̀yẹ! Jẹ́ ká gbìyànjú lẹ́ẹ̀kan sí i, try again!",Yoruba,"Ẹ̀yẹ! Jẹ́ ká gbìyànjú lẹ́ẹ̀kan sí i, [[try again]]!","Keep the tone soft and encouraging — acknowledge the child's effort before gently inviting a second attempt, avoiding any sense of shame.",,
correction-word-soft-001,correction,word,child,Gently correct a misread word.,10,"Ẹ̀yin ọmọ, gbiyanjú mọ́. Ọ̀rọ̀ náà jẹ́ ""aso"", ṣe try again.",Yoruba,"Ẹ̀yin ọmọ, gbiyanjú mọ́. Ọ̀rọ̀ náà jẹ́ ""aso"", ṣe [[try again]].","Warm and encouraging, keeping the correction gentle so the child feels safe to try again without embarrassment.",,
correction-sentence-soft-001,correction,paragraph,child,Gently correct a misread sentence within a paragraph.,12,"Ẹ jẹ ká gbìyànjú mọ̀. Jọwọ, ka gbólóọ̀run náà lẹ́ẹ̀kan sí i.",Yoruba,"Ẹ jẹ ká [[try]] mọ̀. Jọwọ, ka gbólóọ̀run náà lẹ́ẹ̀kan sí i.","Stay warm and unhurried — frame the correction as a friendly second chance, not a reprimand, so the child feels safe to try again.",,
correction-model-pronunciation-001,correction,word,child,Model the correct pronunciation and ask the child to repeat it.,12,"Gbọ́ dáadáa: ""ọ̀wọ̀."" Ẹ̀yin repeat rẹ̀ — ""ọ̀wọ̀!""",Yoruba,"Gbọ́ dáadáa: ""ọ̀wọ̀."" Ẹ̀yin [[repeat]] rẹ̀ — ""ọ̀wọ̀!""","Warm and encouraging, slowing down on the modelled word so the child can hear each sound clearly, without any hint of scolding.",,
correction-comprehension-001,correction,story,child,Gently correct a misunderstanding without discouraging the child.,12,"Ò tó! Ẹ jẹ ká tún wo ìtàn náà, sai? Kí ni ó sọ?",Yoruba,"Ò tó! Ẹ jẹ ká tún wo ìtàn náà, [[sai?]] Kí ni ó sọ?","Keep the tone soft and curious, not corrective — invite the child back into the story as a shared discovery rather than pointing out a mistake.",,
correction-skip-word-001,correction,paragraph,child,Point out gently that a word was skipped and ask them to include it.,12,"Ó dára, ṣùgbọ́n ọ̀rọ̀ kan wà tí o fo. Jẹ́ ká try again!",Yoruba,"Ó dára, ṣùgbọ́n ọ̀rọ̀ kan wà tí o fo. Jẹ́ ká [[try again]]!","Keep the tone encouraging and light — acknowledge the child's effort first before pointing out the skip, so they don't feel discouraged.",,
correction-mixed-up-order-001,correction,word,child,Point out that the sounds came out in the wrong order and ask for another try.,12,"Ọmọ mi, ó dára, ṣùgbọ́n ìtọ́sọ̀nà ohùn náà yí padà. Jẹ́ ká try again!",Yoruba,"Ọmọ mi, ó dára, ṣùgbọ́n ìtọ́sọ̀nà ohùn náà yí padà. Jẹ́ ká [[try again]]!","Warm and gently corrective — acknowledge the effort first, then redirect with light energy so the child feels safe to try once more.",,
correction-persistent-error-001,correction,any,child,Calmly acknowledge repeated difficulty and offer to move on for now.,14,"Kò burú, ẹ jẹ ká skip èyí kí a siwaju.",Yoruba,"Kò burú, ẹ jẹ ká [[skip]] èyí kí a siwaju.","Keep the tone gentle and reassuring — the child needs to feel safe, not ashamed, after repeated struggle.",,
correction-mispronounce-name-001,correction,story,child,Gently correct a mispronounced character or place name in a story.,12,Ó dára! Ṣùgbọ́n jẹ́ ká sọ orúkọ rẹ̀ pọ̀: repeat after me — Àmíná.,Yoruba,Ó dára! Ṣùgbọ́n jẹ́ ká sọ orúkọ rẹ̀ pọ̀: [[repeat after me]] — Àmíná.,"Keep the tone light and encouraging — acknowledge the child's effort before gently redirecting, never making the correction feel like a scolding.",,
level-up-beginner-to-letter-001,level_transition,beginner,child,Announce moving up from beginner to letter/syllable level.,14,"Ó dára! O ṣe dáradára. Jẹ ká wo àwọn lẹ́tà báyìí, ṣe é bẹ́ẹ̀?",Yoruba,"[[Ó dára]]! O ṣe dáradára. Jẹ ká wo àwọn lẹ́tà báyìí, ṣe é bẹ́ẹ̀?","Warm and celebratory — match the excitement of a milestone moment, keeping language very short and encouraging for a beginner reader.",,
level-up-letter-to-word-001,level_transition,letter_syllable,child,Announce moving up from letter/syllable to word level.,14,Ó dára! O ti ṣe é! Jẹ ká lọ kà ọ̀rọ̀ pọ̀ báyìí.,Yoruba,Ó dára! [[O ti ṣe é!]] Jẹ ká lọ kà ọ̀rọ̀ pọ̀ báyìí.,Warm and celebratory — give the child a clear sense of achievement before gently nudging them forward.,,
level-up-word-to-paragraph-001,level_transition,word,child,Announce moving up from word to paragraph level.,14,Ẹ wà o! O ṣe daradara. Jẹ ká ka paragraph papọ̀ bayi!,Yoruba,[[Ẹ wà o]]! O ṣe daradara. Jẹ ká ka [[paragraph]] papọ̀ bayi!,"Use bright, celebratory warmth — this is a mini milestone moment, so the tone should feel like a cheer, not a flat announcement.",,
level-up-paragraph-to-story-001,level_transition,paragraph,child,Announce moving up from paragraph to story level.,14,Ẹ wà! Ó dára púpọ̀! A máa ń ka ìtàn nísinsìnyí. Well done!,Yoruba,Ẹ wà! Ó dára púpọ̀! A máa ń ka ìtàn nísinsìnyí. [[Well done!]],"Use bright, celebratory energy — this is a proud milestone moment for the child, so warmth and genuine excitement should shine through without sounding overly formal.",,
level-stay-beginner-001,level_transition,beginner,child,Reassure the child they're staying at beginner level to build confidence.,14,"Ó dára, a máa ń ṣe àtúnyẹ̀wò papọ̀ rẹ̀. Keep going, ìwọ ń ṣe dáadáa!",Yoruba,"Ó dára, a máa ń ṣe àtúnyẹ̀wò papọ̀ rẹ̀. [[Keep going]], ìwọ ń ṣe dáadáa!","Warm and reassuring — celebrate effort rather than the outcome, so the child feels safe and motivated to keep trying.",,
level-stay-letter-001,level_transition,letter_syllable,child,Reassure the child they're staying at letter/syllable level.,14,"Ó dára, a máa wà níbí. A óò practice lẹ́tà pọ̀ síi!",Yoruba,"Ó dára, a máa wà níbí. A óò [[practice]] lẹ́tà pọ̀ síi!","Keep the tone gently reassuring and upbeat — the child should feel safe staying at this level, not disappointed.",,
level-stay-word-001,level_transition,word,child,Reassure the child they're staying at word level.,14,"Kò tọ̀pọ̀lọpọ̀! A máa ń ṣe àwọn ọ̀rọ̀ síi papọ̀, okay?",Yoruba,"Kò tọ̀pọ̀lọpọ̀! A máa ń ṣe àwọn ọ̀rọ̀ síi papọ̀, [[okay]]?",Keep the tone gentle and reassuring — no hint of disappointment — so the child feels safe to keep trying.,,
level-stay-paragraph-001,level_transition,paragraph,child,Reassure the child they're staying at paragraph level.,14,"Ó dára, a ó máa ṣiṣẹ pẹ̀lú paragraph. O ń ṣe dáadáa!",Yoruba,"Ó dára, a ó máa ṣiṣẹ pẹ̀lú [[paragraph]]. O ń ṣe dáadáa!","Keep the tone warm and encouraging — celebrate effort, not failure, so the child feels safe staying at this level.",,
level-down-word-to-letter-001,level_transition,word,child,Gently explain the child will practice letter/syllable items for a bit.,16,"Ó dára, ẹ jẹ́ ká ṣe àtúnyẹ̀wò lẹ́tà díẹ̀ papọ̀. Ready? Jẹ́ kí a bẹ̀rẹ̀!",Yoruba,"Ó dára, ẹ jẹ́ ká ṣe àtúnyẹ̀wò lẹ́tà díẹ̀ papọ̀. [[Ready?]] Jẹ́ kí a bẹ̀rẹ̀!","Use an upbeat, reassuring tone — frame the level drop as a fun new game, not a setback, so the child feels encouraged rather than discouraged.",,
level-first-assessment-001,level_transition,any,child,Explain that this first session is about finding the right starting level.,16,"Ẹ káàbọ̀! Ní ìtẹ̀jáde àkọ́kọ́ yìí, a ó wá ìpele tó dára jù fún ọ.",Yoruba,"Ẹ káàbọ̀! Ní ìtẹ̀jáde àkọ́kọ́ yìí, a ó wá [[level]] tó dára jù fún ọ.","Warm and welcoming, like a friendly teacher greeting a child on their very first day — gentle, unhurried, and reassuring.",,
encourage-tired-001,encouragement,any,child,Encourage a child who seems to be losing focus or getting tired.,12,"Ẹ̀yẹ kékeré, o ṣe dára! Keep going, a fẹ́rẹ̀ parí!",Yoruba,"Ẹ̀yẹ kékeré, o ṣe dára! [[Keep going]], a fẹ́rẹ̀ parí!",Warm and gently energising — like a kind teacher leaning in with a whispered cheer to help a tired child push through the last stretch.,,
encourage-frustrated-001,encouragement,any,child,Reassure a child who seems frustrated after a few misses in a row.,12,"Ẹ má worry, ọmọ mi! Ìdánwò ni — ìwọ ń ṣe dáadáa.",Yoruba,"[[Ẹ má worry]], ọmọ mi! Ìdánwò ni — ìwọ ń ṣe dáadáa.","Warm and soothing, like a kind teacher leaning in close; avoids any tone of evaluation or pressure so the child feels safe to keep trying.",,
encourage-nervous-001,encouragement,any,child,Reassure a shy or nervous-sounding child before they begin.,12,"Ẹ̀rù má bà ọ, ọmọ mi. Ìwọ lè ṣe é — no worries rárá!",Yoruba,"Ẹ̀rù má bà ọ, ọmọ mi. Ìwọ lè ṣe é — [[no worries]] rárá!","Speak gently and slowly with a warm, almost-whisper tone, like a kind elder calming a child before they take a first step.",,
encourage-halfway-001,encouragement,any,child,"Encourage the child partway through, noting they're doing this well.",12,"Ó dára! O ṣe dáadáa, keep it up! Ẹ̀kọ́ wa fẹ́rẹ̀ parí.",Yoruba,"Ó dára! O ṣe dáadáa, [[keep it up]]! Ẹ̀kọ́ wa fẹ́rẹ̀ parí.","Warm and celebratory, with a quick motivational nudge to carry the child cheerfully into the second half of the session.",,
encourage-hard-item-001,encouragement,paragraph,child,Encourage the child before a noticeably harder item.,12,"Ó dára! Ìbéèrè tó ń bọ̀ yìí le díẹ̀, ṣùgbọ́n mo gbádùn fún ọ!",Yoruba,"Ó dára! Ìbéèrè tó ń bọ̀ yìí le díẹ̀, ṣùgbọ́n mo [[trust]] fún ọ!","Warm and upbeat, celebrating the child's effort so far while building confidence before a harder challenge — like a kind older sibling cheering them on.",,
encourage-after-break-001,encouragement,any,child,Welcome the child back warmly after a pause in the session.,12,"Ẹ káàbọ̀ padà! Welcome back, jẹ́ ká tẹ̀síwájú papọ̀ nhẹ̀!",Yoruba,"Ẹ káàbọ̀ padà! [[Welcome back]], jẹ́ ká tẹ̀síwájú papọ̀ nhẹ̀!","Warm and bright, like a teacher clapping hands gently to signal a happy fresh start — no pressure, just joy at the child returning.",,
encourage-quiet-voice-001,encouragement,any,child,"Gently ask the child to try speaking a little louder, encouragingly.",12,"Ẹ jẹ́ kí a gbọ́ ọ̀ ẹ! Sọ̀rọ̀ síi, speak up, ìwọ lè ṣe é!",Yoruba,"Ẹ jẹ́ kí a gbọ́ ọ̀ ẹ! Sọ̀rọ̀ síi, [[speak up]], ìwọ lè ṣe é!","Warm and playful, never scolding — frame it as an exciting invitation so the child feels safe to try again louder.",,
encourage-distraction-001,encouragement,any,child,Gently bring the child's attention back without scolding.,12,"Ẹ wá, jẹ ká padà! Focus, ọmọ mi — a ń ṣe nǹkan tó dára!",Yoruba,"Ẹ wá, jẹ ká padà! [[Focus]], ọmọ mi — a ń ṣe nǹkan tó dára!","Warm and coaxing, not scolding — like a favourite auntie gently calling the child back to a fun game.",,
closing-session-complete-001,closing,any,child,Close out a normal session and tell the child what happens next.,14,Ó dára! Good job lónìí. Ìwé kíkà wa máa ń bá a lọ lọ́la!,Yoruba,Ó dára! [[Good job]] lónìí. Ìwé kíkà wa máa ń bá a lọ lọ́la!,Warm and celebratory — end the session on a high note so the child looks forward to returning tomorrow.,,
closing-session-paused-001,closing,any,child,Tell the child the session is being paused and can continue later.,12,"Dára, a ó tún padà wá. A lè tẹ̀síwájú lẹ́yìn náà, ọkàn mi!",Yoruba,"[[Dára]], a ó tún padà wá. A lè tẹ̀síwájú lẹ́yìn náà, ọkàn mi!",Keep the tone reassuring and affectionate so the child feels no anxiety about stopping mid-session.,,
closing-session-ended-early-001,closing,any,child,Warmly end a session that's stopping earlier than planned.,14,"Ó dára, a máa padà wá ọjọ́ tó ń bọ̀. O ṣe àgbàdo, ọmọ mi!",Yoruba,"Ó dára, a máa padà wá ọjọ́ tó ń bọ̀. [[O ṣe àgbàdo]], ọmọ mi!","Warm and reassuring, making the child feel accomplished rather than disappointed that the session ended early.",,
closing-level-summary-001,closing,any,child,"Briefly tell the child what level they're working at, in simple terms.",16,"Ìwọ ń ṣiṣẹ́ dáadáa! Ìpele rẹ jẹ́ level one, ó dára gan-an!",Yoruba,"Ìwọ ń ṣiṣẹ́ dáadáa! Ìpele rẹ jẹ́ [[level one]], ó dára gan-an!","Keep the tone celebratory and affirming, so the child leaves the session feeling proud and motivated rather than assessed.",,
