item_id,tarl_level,item_type,text,difficulty_rank,selection_rationale,source,reviewed_by,review_status,notes
sw-ls-011,letter_syllable,syllable,ka,11,"Open CV syllable 'ka': 'k' is a high-frequency onset consonant across noun classes (ki-/vi-) and common verbs (kula, kwenda). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-012,letter_syllable,syllable,ke,12,"Open CV syllable 'ke': 'k' is a high-frequency onset consonant across noun classes (ki-/vi-) and common verbs (kula, kwenda). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-013,letter_syllable,syllable,ki,13,"Open CV syllable 'ki': 'k' is a high-frequency onset consonant across noun classes (ki-/vi-) and common verbs (kula, kwenda). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-014,letter_syllable,syllable,ko,14,"Open CV syllable 'ko': 'k' is a high-frequency onset consonant across noun classes (ki-/vi-) and common verbs (kula, kwenda). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-015,letter_syllable,syllable,ku,15,"Open CV syllable 'ku': 'k' is a high-frequency onset consonant across noun classes (ki-/vi-) and common verbs (kula, kwenda). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-016,letter_syllable,syllable,wa,16,"Open CV syllable 'wa': 'w' is frequent as part of the class-2 plural prefix (wa-) and the class-11/14 prefix (u-/w-), and opens common words like watu, wewe. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-017,letter_syllable,syllable,we,17,"Open CV syllable 'we': 'w' is frequent as part of the class-2 plural prefix (wa-) and the class-11/14 prefix (u-/w-), and opens common words like watu, wewe. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-018,letter_syllable,syllable,wi,18,"Open CV syllable 'wi': 'w' is frequent as part of the class-2 plural prefix (wa-) and the class-11/14 prefix (u-/w-), and opens common words like watu, wewe. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-019,letter_syllable,syllable,wo,19,"Open CV syllable 'wo': 'w' is frequent as part of the class-2 plural prefix (wa-) and the class-11/14 prefix (u-/w-), and opens common words like watu, wewe. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-020,letter_syllable,syllable,wu,20,"Open CV syllable 'wu': 'w' is frequent as part of the class-2 plural prefix (wa-) and the class-11/14 prefix (u-/w-), and opens common words like watu, wewe. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-021,letter_syllable,syllable,la,21,"Open CV syllable 'la': 'l' is a common consonant in everyday vocabulary (leo, lala, langu) without being restricted to a single noun class. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-022,letter_syllable,syllable,le,22,"Open CV syllable 'le': 'l' is a common consonant in everyday vocabulary (leo, lala, langu) without being restricted to a single noun class. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-023,letter_syllable,syllable,li,23,"Open CV syllable 'li': 'l' is a common consonant in everyday vocabulary (leo, lala, langu) without being restricted to a single noun class. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-024,letter_syllable,syllable,lo,24,"Open CV syllable 'lo': 'l' is a common consonant in everyday vocabulary (leo, lala, langu) without being restricted to a single noun class. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-025,letter_syllable,syllable,lu,25,"Open CV syllable 'lu': 'l' is a common consonant in everyday vocabulary (leo, lala, langu) without being restricted to a single noun class. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-026,letter_syllable,syllable,sa,26,"Open CV syllable 'sa': 's' is a common onset consonant in everyday vocabulary (sasa, samaki, soko) and is phonetically stable across Swahili-speaking regions. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-027,letter_syllable,syllable,se,27,"Open CV syllable 'se': 's' is a common onset consonant in everyday vocabulary (sasa, samaki, soko) and is phonetically stable across Swahili-speaking regions. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-028,letter_syllable,syllable,si,28,"Open CV syllable 'si': 's' is a common onset consonant in everyday vocabulary (sasa, samaki, soko) and is phonetically stable across Swahili-speaking regions. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-029,letter_syllable,syllable,so,29,"Open CV syllable 'so': 's' is a common onset consonant in everyday vocabulary (sasa, samaki, soko) and is phonetically stable across Swahili-speaking regions. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-030,letter_syllable,syllable,su,30,"Open CV syllable 'su': 's' is a common onset consonant in everyday vocabulary (sasa, samaki, soko) and is phonetically stable across Swahili-speaking regions. Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-w-001,word,word,mama,1,"Universally one of a child's first and most frequent words in any household; two open CV syllables, no consonant cluster. (mother).",Author-created; general knowledge of common Swahili child vocabulary.,Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
