act_id,category,tarl_level,audience,function,trigger,max_words
correction-skip-word-001,correction,paragraph,child,Point out gently that a word was skipped and ask them to include it.,Child skips a word while reading a paragraph-level item.,12
correction-mixed-up-order-001,correction,word,child,Point out that the sounds came out in the wrong order and ask for another try.,Child reads a word's sounds out of order.,12
correction-persistent-error-001,correction,any,child,Calmly acknowledge repeated difficulty and offer to move on for now.,Child has missed the same item three times.,14
correction-mispronounce-name-001,correction,story,child,Gently correct a mispronounced character or place name in a story.,Child mispronounces a proper name while reading a story-level item.,12
level-up-beginner-to-letter-001,level_transition,beginner,child,Announce moving up from beginner to letter/syllable level.,Child passes the threshold of correct beginner-level items.,14
level-up-letter-to-word-001,level_transition,letter_syllable,child,Announce moving up from letter/syllable to word level.,Child passes the threshold of correct letter/syllable-level items.,14
level-up-word-to-paragraph-001,level_transition,word,child,Announce moving up from word to paragraph level.,Child passes the threshold of correct word-level items.,14
level-up-paragraph-to-story-001,level_transition,paragraph,child,Announce moving up from paragraph to story level.,Child passes the threshold of correct paragraph-level items.,14
level-stay-beginner-001,level_transition,beginner,child,Reassure the child they're staying at beginner level to build confidence.,Child is below the threshold to advance from beginner level.,14
level-stay-letter-001,level_transition,letter_syllable,child,Reassure the child they're staying at letter/syllable level.,Child is below the threshold to advance from letter/syllable level.,14
level-stay-word-001,level_transition,word,child,Reassure the child they're staying at word level.,Child is below the threshold to advance from word level.,14
level-stay-paragraph-001,level_transition,paragraph,child,Reassure the child they're staying at paragraph level.,Child is below the threshold to advance from paragraph level.,14
level-down-word-to-letter-001,level_transition,word,child,Gently explain the child will practice letter/syllable items for a bit.,Assessment shows the child needs to drop back a level.,16
level-first-assessment-001,level_transition,any,child,Explain that this first session is about finding the right starting level.,The very first assessment session for a new child.,16
encourage-tired-001,encouragement,any,child,Encourage a child who seems to be losing focus or getting tired.,Response latency increases significantly across several items.,12
encourage-frustrated-001,encouragement,any,child,Reassure a child who seems frustrated after a few misses in a row.,Child has missed several items in a row.,12
encourage-nervous-001,encouragement,any,child,Reassure a shy or nervous-sounding child before they begin.,Child's voice sounds hesitant at the very start of a session.,12
encourage-halfway-001,encouragement,any,child,"Encourage the child partway through, noting they're doing this well.",Session is roughly halfway through its planned items.,12
encourage-hard-item-001,encouragement,paragraph,child,Encourage the child before a noticeably harder item.,Next item is meaningfully harder than the last one completed.,12
encourage-after-break-001,encouragement,any,child,Welcome the child back warmly after a pause in the session.,Session resumes after being paused mid-way.,12
encourage-quiet-voice-001,encouragement,any,child,"Gently ask the child to try speaking a little louder, encouragingly.",Child's voice is too quiet to score reliably.,12
encourage-distraction-001,encouragement,any,child,Gently bring the child's attention back without scolding.,Background noise or distraction interrupts the session.,12
closing-session-complete-001,closing,any,child,Close out a normal session and tell the child what happens next.,Session item queue is complete.,14
closing-session-paused-001,closing,any,child,Tell the child the session is being paused and can continue later.,Facilitator or system pauses the session before it's complete.,12
closing-session-ended-early-001,closing,any,child,Warmly end a session that's stopping earlier than planned.,Session ends before the full item queue is finished.,14
closing-level-summary-001,closing,any,child,"Briefly tell the child what level they're working at, in simple terms.",Session ends and the facilitator wants the child to hear a summary.,16
closing-thank-you-001,closing,any,child,"Thank the child for their effort today, warmly and briefly.","Session ends, general thank-you moment.",10
closing-see-you-next-time-001,closing,any,child,Tell the child when or how they'll practice again.,Session ends and a next session is expected soon.,12
repair-no-audio-001,repair,any,child,Nothing was heard. Ask the child to try again.,No speech was detected in the recording.,8
repair-too-quiet-001,repair,any,child,Audio was too quiet. Ask the child to speak a little louder.,Recorded audio volume is too low to transcribe reliably.,8
repair-background-noise-001,repair,any,child,Too much background noise. Ask the child to move somewhere quieter or closer to the phone.,Background noise is too high for reliable transcription.,10
repair-unclear-answer-001,repair,any,child,The answer was unclear. Ask the child to say it again.,Transcript confidence is too low to score the response.,8
repair-talked-over-001,repair,any,child,The child spoke while the agent was still talking. Ask them to wait for the agent to finish before answering.,Child's speech overlapped with the agent's own audio playback.,8
repair-confirm-low-confidence-001,repair,any,child,"Read a low-confidence answer back to the child to confirm it, instead of asking them to redo it.","Transcript confidence is borderline -- low enough to double check, high enough not to require a full re-record.",12
escalate-call-facilitator-001,escalation,any,facilitator,Alert the facilitator that repeated repair attempts have failed and their attention is needed now.,Three consecutive repair attempts have failed on the same item.,8
escalate-technical-fault-001,escalation,any,facilitator,"Report a technical fault to the facilitator in plain, factual terms.","A technical error (recording failure, connectivity loss, crash) prevents the session from continuing normally.",12
escalate-distress-handover-001,escalation,any,child,Gently acknowledge that the child seems upset and say help is coming right away -- never try to continue the session first.,"Child's speech or behavior signals real distress (crying, panic, refusal). This must always escalate, never be pushed through.",10
escalate-helper-coming-001,escalation,any,child,"Tell the child, simply and reassuringly, that a person is coming to help them now.",Escalation has been triggered for any reason and the child needs to hear that help is on the way.,8
facilitator-confirm-level-001,facilitator,any,facilitator,Ask the facilitator to confirm the assigned reading level before it takes effect.,The agent has computed a level assignment and it requires facilitator confirmation before being recorded.,12
facilitator-session-summary-001,facilitator,any,facilitator,Report a brief factual summary of the session's results to the facilitator.,The session has ended and a summary is ready to report.,16
facilitator-start-next-child-001,facilitator,any,facilitator,Prompt the facilitator to begin the next child's session.,The current child's session has ended and another child is waiting.,10
facilitator-sync-warning-001,facilitator,any,facilitator,Warn the facilitator that this session's recordings have not yet synced to the server.,The device has no connectivity and recorded session data is still only stored locally.,12
