act_id,language_pair,matrix_language,category,tarl_level,audience,function_reminder,max_words,text_draft,switch_points,register_note,review_decision,normalized_decision,corrected_text,final_text,text_status,suspected_encoding_damage,source_file
instr-free-response-001,sw-en,Swahili,instruction,any,child,Ask the child what they think happens next in the story.,12,"Sawa, unafikiri nini kitatokea baadaye? Niambie!","[[Sawa]], unafikiri nini kitatokea baadaye? Niambie!","Keep the tone curious and inviting, like a friend asking a question, not a test — use ""Niambie!"" to make it feel like their answer genuinely matters.",fix,fix,Unafikiri nini kitatokea baadaye? Tell me!,Unafikiri nini kitatokea baadaye? Tell me!,approved,no,data/scaffolding/sw-en.csv
instr-repeat-please-response-001,sw-en,Swahili,instruction,any,child,Repeat the instruction more slowly because the child asked.,12,Sawa! Sikiliza vizuri... soma neno hili pole pole.,[[Sawa!]] Sikiliza vizuri... soma neno hili pole pole.,"Warm and unhurried, reassuring the child that slowing down is perfectly fine and they are safe to try again.",fix,fix,Ngoja nirudie slowly: soma neno hili kwa sauti.,Ngoja nirudie slowly: soma neno hili kwa sauti.,approved,no,data/scaffolding/sw-en.csv
instr-facilitator-wait-001,sw-en,Swahili,instruction,any,child,Tell the child to wait a moment while a facilitator is called.,10,"Subiri kidogo, nitamwita mwalimu wako sasa hivi!","[[Subiri]] kidogo, nitamwita mwalimu wako sasa hivi!",Keep the tone bright and reassuring so the child does not feel abandoned during the handoff.,keep,keep,,"Subiri kidogo, nitamwita mwalimu wako sasa hivi!",approved,no,data/scaffolding/sw-en.csv
instr-practice-drill-001,sw-en,Swahili,instruction,word,child,Ask the child to try a short practice drill before the real item.,12,"Sawa, kwanza hebu tujaribu mfano. Ready? Soma hii!","Sawa, kwanza hebu tujaribu mfano. [[Ready?]] Soma hii!","Keep the tone playful and encouraging, like a friendly nudge, so the child feels excited rather than pressured before the drill.",fix,fix,Kwanza tufanye practice moja. Uko tayari? Soma hili!,Kwanza tufanye practice moja. Uko tayari? Soma hili!,approved,no,data/scaffolding/sw-en.csv
praise-first-try-beginner-001,sw-en,Swahili,praise,beginner,child,Praise correct letter-sound on the first try.,8,"Vizuri sana! Good job, ulijua haraka!","[[Vizuri sana]]! [[Good job]], ulijua haraka!",Keep it bright and celebratory — short bursts of praise feel like a high-five for a beginner child.,fix,fix,"Hongera! Good job, umeitamka vizuri!","Hongera! Good job, umeitamka vizuri!",approved,no,data/scaffolding/sw-en.csv
praise-first-try-syllable-001,sw-en,Swahili,praise,letter_syllable,child,Praise correct syllable read on the first try.,8,"Vizuri sana! Good job, ulisoma vizuri!","[[Vizuri sana! Good job,]] ulisoma vizuri!","Bright and immediate praise — short, energetic, and celebratory to reward the child's quick success without overwhelming them.",fix,fix,"Vizuri! First try, umeisoma sawasawa!","Vizuri! First try, umeisoma sawasawa!",approved,no,data/scaffolding/sw-en.csv
praise-first-try-word-001,sw-en,Swahili,praise,word,child,Praise correct word read on the first try.,8,Vizuri sana! First try! Umesoma neno vizuri.,[[Vizuri sana]]! [[First try]]! Umesoma neno vizuri.,"Warm and celebratory — short burst of excitement to affirm instant success, keeping words simple for a word-level reader.",fix,fix,"Hongera! First try, umelisoma neno vizuri!","Hongera! First try, umelisoma neno vizuri!",approved,no,data/scaffolding/sw-en.csv
praise-first-try-paragraph-001,sw-en,Swahili,praise,paragraph,child,Praise fluent reading of a full paragraph.,10,"Vizuri sana! Umesoma vizuri, good job, endelea hivyo!","[[Vizuri sana!]] Umesoma vizuri, [[good job]], endelea hivyo!","Warm and celebratory, short burst of genuine excitement to affirm a big achievement for a young reader.",fix,fix,Umesoma kifungu vizuri sana. Great job!,Umesoma kifungu vizuri sana. Great job!,approved,no,data/scaffolding/sw-en.csv
praise-first-try-story-001,sw-en,Swahili,praise,story,child,Praise finishing a story with strong fluency.,10,"Vizuri sana! Umesoma hadithi nzima, well done!","[[Vizuri sana!]] Umesoma hadithi nzima, [[well done!]]","Warm and celebratory, mirroring the excitement a teacher shows when a child achieves something big — short and punchy so the praise lands immediately.",fix,fix,Umeisoma hadithi yote kwa ufasaha. Well done!,Umeisoma hadithi yote kwa ufasaha. Well done!,approved,no,data/scaffolding/sw-en.csv
praise-after-retry-word-001,sw-en,Swahili,praise,word,child,Praise the child for succeeding after a retry.,10,"Vizuri sana! Umefaulu! Good job, ulijaribu tena!","Vizuri sana! Umefaulu! [[Good job]], ulijaribu tena!","Warm and celebratory, short bursts of praise to match a young child's attention span and boost their confidence after persisting through a retry.",fix,fix,Umeweza! Good job kwa kujaribu tena!,Umeweza! Good job kwa kujaribu tena!,approved,no,data/scaffolding/sw-en.csv
praise-after-retry-syllable-001,sw-en,Swahili,praise,letter_syllable,child,Praise the child for succeeding after a retry at syllable level.,10,"Vizuri sana! Ulijaribu tena, na umefanikiwa. Well done!","[[Vizuri sana]]! Ulijaribu tena, na umefanikiwa. [[Well done]]!",Warm and celebratory — short bursts of praise with genuine excitement to reward the child's persistence without over-explaining.,fix,fix,Umeisoma vizuri baada ya kujaribu tena. Well done!,Umeisoma vizuri baada ya kujaribu tena. Well done!,approved,no,data/scaffolding/sw-en.csv
praise-comprehension-001,sw-en,Swahili,praise,story,child,Praise a thoughtful answer to a comprehension question.,10,"Vizuri sana! Jibu lako ni zuri, umefikiria vizuri!","[[Vizuri sana!]] Jibu lako ni zuri, umefikiria vizuri!","Warm and enthusiastic, celebrating the child's thinking without sounding formal or test-like.",keep,keep,,"Vizuri sana! Jibu lako ni zuri, umefikiria vizuri!",approved,no,data/scaffolding/sw-en.csv
praise-effort-general-001,sw-en,Swahili,praise,any,child,Praise visible effort even when the answer wasn't fully correct.,10,"Umejaribu sana, good try! Tutajaribu tena pamoja.","Umejaribu sana, [[good try]]! Tutajaribu tena pamoja.","Warm and encouraging, focusing on effort rather than the error, so the child feels safe to try again.",fix,fix,Good try! Umejitahidi; tujaribu tena pamoja.,Good try! Umejitahidi; tujaribu tena pamoja.,approved,no,data/scaffolding/sw-en.csv
praise-improvement-001,sw-en,Swahili,praise,any,child,Note that the child is improving compared to earlier in the session.,12,"Vizuri sana! Unakuwa bora zaidi kuliko mwanzo, keep it up!","[[Vizuri sana!]] Unakuwa bora zaidi kuliko mwanzo, [[keep it up!]]","Warm and celebratory, using short punchy phrases to match a young child's energy and boost their confidence.",fix,fix,Unazidi kufanya vizuri. Keep it up!,Unazidi kufanya vizuri. Keep it up!,approved,no,data/scaffolding/sw-en.csv
praise-confidence-001,sw-en,Swahili,praise,word,child,"Praise a confident, clear reading voice.",8,Vizuri sana! Sauti yako ilikuwa clear kabisa!,[[Vizuri sana!]] Sauti yako ilikuwa [[clear]] kabisa!,"Warm and celebratory, short burst of genuine excitement to mirror a real classroom teacher's in-the-moment praise for a young child.",fix,fix,Hongera! Umesoma kwa sauti clear na ya kujiamini!,Hongera! Umesoma kwa sauti clear na ya kujiamini!,approved,no,data/scaffolding/sw-en.csv
praise-self-correct-001,sw-en,Swahili,praise,any,child,Praise the child for catching and fixing their own mistake.,10,Vizuri sana! Ulijisahihisha mwenyewe — well done!,[[Vizuri sana]]! Ulijisahihisha mwenyewe — [[well done]]!,"Warm and celebratory, making the child feel proud of their own self-awareness without sounding formal or exam-like.",fix,fix,Umeona kosa lako na kulisahihisha. Well done!,Umeona kosa lako na kulisahihisha. Well done!,approved,no,data/scaffolding/sw-en.csv
praise-creative-answer-001,sw-en,Swahili,praise,story,child,Praise an imaginative answer to an open-ended story question.,12,"Vizuri sana! Jibu lako ni zuri na la ajabu, umefikiria vizuri!","[[Vizuri sana!]] Jibu lako ni zuri na la ajabu, umefikiria vizuri!","Warm and celebratory, using simple vivid words to make the child feel proud of their imaginative thinking.",fix,fix,Jibu lako lina mawazo mazuri sana. Great thinking!,Jibu lako lina mawazo mazuri sana. Great thinking!,approved,no,data/scaffolding/sw-en.csv
praise-quiet-progress-001,sw-en,Swahili,praise,letter_syllable,child,Gently praise a shy or quiet child's small progress.,10,"Vizuri sana! Good job, ulijua hiyo!","[[Vizuri sana!]] [[Good job,]] ulijua hiyo!","Speak softly and warmly, matching the child's quiet energy so they feel seen rather than put on the spot.",fix,fix,"Umeweza! Good job, endelea hivyo.","Umeweza! Good job, endelea hivyo.",approved,no,data/scaffolding/sw-en.csv
hint-letter-sound-001,sw-en,Swahili,hint,beginner,child,Prompt the child to think of the sound the letter makes.,10,Hebu fikiria — haruf hii inasema sauti gani?,[[Hebu]] fikiria — haruf hii inasema sauti gani?,"Keep tone gentle and inviting, like a nudge from a kind teacher — not a test question, just a soft prompt to help the child feel safe to try.",fix,fix,Hebu fikiria: herufi hii ina sauti gani?,Hebu fikiria: herufi hii ina sauti gani?,approved,no,data/scaffolding/sw-en.csv
hint-syllable-blend-001,sw-en,Swahili,hint,letter_syllable,child,Prompt the child to blend the two sounds in the syllable together.,12,"Sawa, hebu unganisha sauti hizo mbili pamoja — blend!","Sawa, hebu unganisha sauti hizo mbili pamoja — [[blend]]!","Use a soft, encouraging tone — like a gentle nudge from a friend, not a command, to ease the child's hesitation.",fix,fix,"Hebu unganisha sauti hizo mbili, then say them together.","Hebu unganisha sauti hizo mbili, then say them together.",approved,no,data/scaffolding/sw-en.csv
hint-word-first-letter-001,sw-en,Swahili,hint,word,child,Prompt the child to look at the first letter of the word.,10,Angalia herufi ya kwanza. Inasema nini?,Angalia herufi ya kwanza. Inasema nini?,"Keep the tone gently encouraging and unhurried, like a patient teacher nudging the child to try rather than giving up.",keep,keep,,Angalia herufi ya kwanza. Inasema nini?,approved,no,data/scaffolding/sw-en.csv
hint-word-familiar-001,sw-en,Swahili,hint,word,child,Suggest the word looks like one they already know.,12,Angalia vizuri! Neno hili linafanana na neno unalojua. Try kukumbuka!,Angalia vizuri! Neno hili linafanana na neno unalojua. [[Try]] kukumbuka!,"Keep the tone gently encouraging and curious, like a teacher nudging rather than telling, so the child feels safe to guess.",fix,fix,Neno hili linafanana na unalolijua. Try kukumbuka.,Neno hili linafanana na unalolijua. Try kukumbuka.,approved,no,data/scaffolding/sw-en.csv
hint-sentence-context-001,sw-en,Swahili,hint,paragraph,child,Suggest using the rest of the sentence as a clue for the tricky word.,14,Angalia sentensi yote; maneno mengine yanaweza kukusaidia. Try again!,Angalia sentensi yote — maneno mengine yanaweza kukusaidia. [[Try again!]],"Warm and encouraging, like a gentle nudge from a helpful friend, not a correction.",fix,fix,Soma sentensi yote; maneno mengine yatakupa clue.,Soma sentensi yote; maneno mengine yatakupa clue.,approved,no,data/scaffolding/sw-en.csv
hint-story-context-001,sw-en,Swahili,hint,story,child,Suggest thinking about what would make sense in the story so far.,14,Fikiria hadithi yetu. Neno hilo linafaa maana gani hapa?,[[Think]] hadithi yetu. Neno hilo linafaa maana gani hapa?,"Warm and gently prompting, like a teacher leaning in to guide without giving the answer away.",fix,fix,Fikiria story yetu. Neno gani linafaa hapa?,Fikiria story yetu. Neno gani linafaa hapa?,approved,no,data/scaffolding/sw-en.csv
hint-comprehension-001,sw-en,Swahili,hint,story,child,Suggest thinking back to what happened earlier in the story.,12,Fikiria kidogo — nini kilitokea mwanzo wa hadithi?,[[Fikiria]] kidogo — nini kilitokea mwanzo wa hadithi?,"Warm and gently encouraging, like a patient teacher nudging the child to look back without pressure.",keep,keep,,Fikiria kidogo — nini kilitokea mwanzo wa hadithi?,approved,no,data/scaffolding/sw-en.csv
hint-slow-sound-out-001,sw-en,Swahili,hint,letter_syllable,child,"Suggest sounding out the syllable slowly, one part at a time.",12,"Hebu sound out polepole, kipande kimoja kimoja!","Hebu [[sound out]] polepole, kipande kimoja kimoja!","Warm and encouraging, using a gentle imperative to invite the child to try again without feeling corrected.",fix,fix,"Tamka kila sauti polepole, then ziunganishe pamoja.","Tamka kila sauti polepole, then ziunganishe pamoja.",approved,no,data/scaffolding/sw-en.csv
hint-look-again-001,sw-en,Swahili,hint,word,child,Suggest looking at the word again carefully before answering.,10,"Subiri! Angalia neno hilo tena, polepole polepole.","[[Subiri]]! Angalia neno hilo tena, polepole polepole.","Warm but gently firm — like a patient teacher slowing a rushing child down, not scolding.",fix,fix,Angalia neno hilo tena kwa makini. Take your time.,Angalia neno hilo tena kwa makini. Take your time.,approved,no,data/scaffolding/sw-en.csv
hint-break-it-down-001,sw-en,Swahili,hint,paragraph,child,Suggest breaking the sentence into smaller chunks.,12,"Sawa, hebu tuisome sentensi hiyo kidogo kidogo, sehemu moja moja.","[[Sawa]], hebu tuisome sentensi hiyo kidogo kidogo, sehemu moja moja.","Warm and encouraging, using a gentle ""let's do it together"" tone so the child feels supported rather than singled out for struggling.",fix,fix,"Tuisome sentensi hiyo kwa vipande vidogo, one by one.","Tuisome sentensi hiyo kwa vipande vidogo, one by one.",approved,no,data/scaffolding/sw-en.csv
hint-picture-clue-001,sw-en,Swahili,hint,word,child,Suggest thinking of a picture that matches the word.,10,Fikiria picha — unaona nini akilini mwako?,[[Fikiria]] picha — unaona nini akilini mwako?,"Gentle and curious, like a teacher leaning in and whispering a helpful secret to a young child.",keep,keep,,Fikiria picha — unaona nini akilini mwako?,approved,no,data/scaffolding/sw-en.csv
hint-try-whisper-001,sw-en,Swahili,hint,beginner,child,Suggest whispering the sound first before saying it aloud.,10,"Sawa, kwanza whisper sauti hiyo, kisha tuiseme pamoja!","Sawa, kwanza [[whisper]] sauti hiyo, kisha tuiseme pamoja!","Keep the tone playful and inviting, making whispering feel like a fun low-stakes game rather than a test.",fix,fix,"Kwanza itamke kwa sauti ya chini, then sema kwa sauti.","Kwanza itamke kwa sauti ya chini, then sema kwa sauti.",approved,no,data/scaffolding/sw-en.csv
correction-letter-soft-001,sw-en,Swahili,correction,beginner,child,"Gently correct a misread letter sound without saying ""wrong"".",10,"Karibu! Herufi hii inasema ""try again"" — sikiliza: mmm!","Karibu! Herufi hii inasema ""[[try again]]"" — sikiliza: mmm!","Keep the tone playful and encouraging, like a kind older sibling giving a gentle nudge rather than a correction.",fix,fix,Ulikaribia! Sikiliza sauti ya herufi hii: mmm. Try again.,Ulikaribia! Sikiliza sauti ya herufi hii: mmm. Try again.,approved,no,data/scaffolding/sw-en.csv
correction-syllable-soft-001,sw-en,Swahili,correction,letter_syllable,child,Gently correct a misread syllable.,10,"Karibu! Hebu tusikie tena — sema ""si"", si ""su"".","Karibu! [[Hebu]] tusikie tena — sema ""si"", si ""su"".","Keep the tone gentle and encouraging, like a kind older friend, never scolding — the child should feel safe to try again.",keep,keep,,"Karibu! Hebu tusikie tena — sema ""si"", si ""su"".",approved,no,data/scaffolding/sw-en.csv
correction-word-soft-001,sw-en,Swahili,correction,word,child,Gently correct a misread word.,10,"Karibu! Hebu tujaribu tena, soma neno hili polepole.","Karibu! [[Hebu]] tujaribu tena, soma neno hili polepole.","Warm and encouraging, never scolding — the ""hebu"" invitation softens the correction into a gentle collaborative retry.",keep,keep,,"Karibu! Hebu tujaribu tena, soma neno hili polepole.",approved,no,data/scaffolding/sw-en.csv
correction-sentence-soft-001,sw-en,Swahili,correction,paragraph,child,Gently correct a misread sentence within a paragraph.,12,"Karibu! Hebu jaribu tena, soma sentensi polepole zaidi.","Karibu! Hebu [[try again]], soma sentensi polepole zaidi.","Warm and encouraging, softening the correction with ""Karibu"" to avoid making the child feel bad about the mistake.",keep,keep,,"Karibu! Hebu jaribu tena, soma sentensi polepole zaidi.",approved,no,data/scaffolding/sw-en.csv
correction-model-pronunciation-001,sw-en,Swahili,correction,word,child,Model the correct pronunciation and ask the child to repeat it.,12,"Sikiliza vizuri: ""shule."" Sasa wewe, repeat — ""shule!""","Sikiliza vizuri: ""shule."" Sasa wewe, [[repeat]] — ""shule!""","Warm and encouraging, slow and clear on the modeled word so the child can hear each sound, then gently inviting them to try.",fix,fix,Sikiliza: ‘shule.’ Sasa repeat after me: ‘shule.’,Sikiliza: ‘shule.’ Sasa repeat after me: ‘shule.’,approved,no,data/scaffolding/sw-en.csv
correction-comprehension-001,sw-en,Swahili,correction,story,child,Gently correct a misunderstanding without discouraging the child.,12,"Hmm, hebu tusikie tena — jibu liko karibu sana!","[[Hmm]], hebu tusikie tena — jibu liko karibu sana!","Use a soft, encouraging tone — the child should feel guided, not embarrassed, so keep the correction light and forward-looking.",keep,keep,,"Hmm, hebu tusikie tena — jibu liko karibu sana!",approved,no,data/scaffolding/sw-en.csv
correction-skip-word-001,sw-en,Swahili,correction,paragraph,child,Point out gently that a word was skipped and ask them to include it.,12,"Karibu sana! Lakini neno moja liliachwa. Jaribu tena, soma neno lote.","Karibu sana! Lakini neno moja liliachwa. [[Jaribu]] tena, soma neno lote.","Warm and gentle, reassuring the child rather than scolding, keeping the correction feel like a friendly nudge.",fix,fix,Ulikaribia! Umeruka neno moja. Read tena bila kuliacha.,Ulikaribia! Umeruka neno moja. Read tena bila kuliacha.,approved,no,data/scaffolding/sw-en.csv
correction-mixed-up-order-001,sw-en,Swahili,correction,word,child,Point out that the sounds came out in the wrong order and ask for another try.,12,"Karibu! Sauti zilikuja kwa mpangilio mbaya. Try again, sawa?","Karibu! Sauti zilikuja kwa mpangilio mbaya. [[Try again]], sawa?","Warm and gentle, using ""karibu"" to soften the correction so the child doesn't feel discouraged, then a simple friendly nudge to retry.",fix,fix,"Ulikaribia! Panga sauti hizi vizuri, then try again.","Ulikaribia! Panga sauti hizi vizuri, then try again.",approved,no,data/scaffolding/sw-en.csv
correction-persistent-error-001,sw-en,Swahili,correction,any,child,Calmly acknowledge repeated difficulty and offer to move on for now.,14,"Sawa, hiyo ni ngumu kidogo. Hebu tuendelee, tutarudi baadaye.","[[Sawa]], hiyo ni ngumu kidogo. Hebu tuendelee, tutarudi baadaye.","Keep the tone gentle and reassuring — never frustrated — so the child feels safe, not ashamed, about struggling repeatedly.",keep,keep,,"Sawa, hiyo ni ngumu kidogo. Hebu tuendelee, tutarudi baadaye.",approved,no,data/scaffolding/sw-en.csv
correction-mispronounce-name-001,sw-en,Swahili,correction,story,child,Gently correct a mispronounced character or place name in a story.,12,"Karibu sana! Jaribu tena: jina hilo husemwa ""Amina"" Sawa?","Karibu sana! [[Jaribu tena]] — jina hilo husemwa ""Amina."" [[Sawa?]]","Keep the tone soft and encouraging, like a kind older sibling, so the child feels safe to try again without embarrassment.",fix,fix,Ulikaribia! Jina hili linatamkwa ‘Amina.’ Try again.,Ulikaribia! Jina hili linatamkwa ‘Amina.’ Try again.,approved,no,data/scaffolding/sw-en.csv
level-up-beginner-to-letter-001,sw-en,Swahili,level_transition,beginner,child,Announce moving up from beginner to letter/syllable level.,14,"Hongera sana! Umefanya vizuri. Sasa tutajifunza herufi pamoja, ready?","[[Hongera]] sana! Umefanya [[vizuri]]. Sasa tutajifunza herufi pamoja, [[ready?]]","Bright and celebratory — match the child's excitement at levelling up, keeping it short and inviting rather than formal.",fix,fix,Hongera! Sasa tunaendelea na silabi. Are you ready?,Hongera! Sasa tunaendelea na silabi. Are you ready?,approved,no,data/scaffolding/sw-en.csv
level-up-letter-to-word-001,sw-en,Swahili,level_transition,letter_syllable,child,Announce moving up from letter/syllable to word level.,14,Hongera sana! Umefanya vizuri. Sasa tutasoma maneno. Ready? Twende!,Hongera sana! Umefanya vizuri. Sasa tutasoma maneno. [[Ready?]] Twende!,"Warm and celebratory, short punchy phrases to match a young child's excitement at levelling up.",fix,fix,Hongera! Sasa tunaendelea kusoma maneno. Ready? Twende!,Hongera! Sasa tunaendelea kusoma maneno. Ready? Twende!,approved,no,data/scaffolding/sw-en.csv
level-up-word-to-paragraph-001,sw-en,Swahili,level_transition,word,child,Announce moving up from word to paragraph level.,14,"Hongera sana! Sasa tunaenda kusoma paragraph nzima pamoja, ready?","[[Hongera]] sana! Sasa tunaenda kusoma [[paragraph]] nzima pamoja, [[ready?]]","Bright and celebratory — match the child's achievement with genuine excitement, keeping it brief and forward-looking so they feel confident stepping up.",fix,fix,Hongera! Sasa tutasoma kifungu kizima. Ready?,Hongera! Sasa tutasoma kifungu kizima. Ready?,approved,no,data/scaffolding/sw-en.csv
level-up-paragraph-to-story-001,sw-en,Swahili,level_transition,paragraph,child,Announce moving up from paragraph to story level.,14,Hongera sana! Sasa tutasoma hadithi nzima. Ready? Twende!,Hongera sana! Sasa tutasoma hadithi nzima. [[Ready?]] Twende!,"Celebratory and energetic — mirror the excitement a real teacher shows when a child earns a big step up, keeping it brief and motivating.",fix,fix,Hongera! Sasa tutasoma hadithi nzima. Ready? Twende!,Hongera! Sasa tutasoma hadithi nzima. Ready? Twende!,approved,no,data/scaffolding/sw-en.csv
level-stay-beginner-001,sw-en,Swahili,level_transition,beginner,child,Reassure the child they're staying at beginner level to build confidence.,14,"Sawa, tutaendelea pamoja hapa. Unafanya vizuri sana, keep it up!","Sawa, tutaendelea pamoja hapa. Unafanya vizuri sana, [[keep it up]]!","Warm and reassuring — use a calm, encouraging voice so the child feels safe and motivated, not judged.",fix,fix,Tutaendelea kufanya mazoezi ya sauti za herufi. You’re doing well!,Tutaendelea kufanya mazoezi ya sauti za herufi. You’re doing well!,approved,no,data/scaffolding/sw-en.csv
level-stay-letter-001,sw-en,Swahili,level_transition,letter_syllable,child,Reassure the child they're staying at letter/syllable level.,14,"Sawa, tutaendelea na herufi pamoja. Unafanya vizuri sana!","Sawa, tutaendelea na herufi pamoja. Unafanya [[vizuri]] sana!","Keep the tone warm and encouraging — reassure the child with a gentle smile in the voice, avoiding any sense of disappointment or failure.",fix,fix,Tutaendelea kufanya mazoezi ya silabi. You’re doing well!,Tutaendelea kufanya mazoezi ya silabi. You’re doing well!,approved,no,data/scaffolding/sw-en.csv
level-stay-word-001,sw-en,Swahili,level_transition,word,child,Reassure the child they're staying at word level.,14,"Sawa, tutaendelea na maneno. Unafanya vizuri sana, keep it up!","Sawa, tutaendelea na maneno. Unafanya vizuri sana, [[keep it up]]!","Warm and reassuring — frame staying at word level as a positive, not a setback, so the child feels encouraged rather than judged.",fix,fix,Tutaendelea kufanya mazoezi ya maneno. Keep going!,Tutaendelea kufanya mazoezi ya maneno. Keep going!,approved,no,data/scaffolding/sw-en.csv
level-stay-paragraph-001,sw-en,Swahili,level_transition,paragraph,child,Reassure the child they're staying at paragraph level.,14,"Sawa kabisa! Tutaendelea na hadithi. Unafanya vizuri sana, keep it up!","Sawa kabisa! Tutaendelea na hadithi. Unafanya vizuri sana, [[keep it up!]]","Warm and encouraging, reassuring the child without any hint of disappointment — frame staying as a positive, comfortable continuation.",fix,fix,Tutaendelea kufanya mazoezi ya vifungu. Keep going!,Tutaendelea kufanya mazoezi ya vifungu. Keep going!,approved,no,data/scaffolding/sw-en.csv
level-down-word-to-letter-001,sw-en,Swahili,level_transition,word,child,Gently explain the child will practice letter/syllable items for a bit.,16,"Sawa, sasa tutafanya mazoezi ya herufi kidogo. Itakuwa rahisi, usiwe na wasiwasi!","[[Sawa]], sasa tutafanya mazoezi ya herufi kidogo. Itakuwa rahisi, usiwe na wasiwasi!","Warm and reassuring — normalize the level shift so the child feels safe, not singled out or punished.",fix,fix,"Tufanye mazoezi machache ya silabi kwanza. Don’t worry, tutafanya pamoja!","Tufanye mazoezi machache ya silabi kwanza. Don’t worry, tutafanya pamoja!",approved,no,data/scaffolding/sw-en.csv
