act_id,prompt,completion,category,tarl_level,audience,target_variety,max_words,text_status,source_file
hint-letter-sound-001,Prompt the child to think of the sound the letter makes.,Hebu fikiria: herufi hii ina sauti gani?,hint,beginner,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
hint-syllable-blend-001,Prompt the child to blend the two sounds in the syllable together.,"Hebu unganisha sauti hizo mbili, then say them together.",hint,letter_syllable,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,12,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
hint-sentence-context-001,Suggest using the rest of the sentence as a clue for the tricky word.,Soma sentensi yote; maneno mengine yatakupa clue.,hint,paragraph,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,14,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
hint-look-again-001,Suggest looking at the word again carefully before answering.,Angalia neno hilo tena kwa makini. Take your time.,hint,word,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
correction-letter-soft-001,"Gently correct a misread letter sound without saying ""wrong"".",Ulikaribia! Sikiliza sauti ya herufi hii: mmm. Try again.,correction,beginner,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
correction-model-pronunciation-001,Model the correct pronunciation and ask the child to repeat it.,Sikiliza: ‘shule.’ Sasa repeat after me: ‘shule.’,correction,word,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,12,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
level-up-letter-to-word-001,Announce moving up from letter/syllable to word level.,Hongera! Sasa tunaendelea kusoma maneno. Ready? Twende!,level_transition,letter_syllable,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,14,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
encourage-tired-001,Encourage a child who seems to be losing focus or getting tired.,"Umefanya vizuri sana! Keep going, tunakaribia mwisho!",encouragement,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,12,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
closing-session-complete-001,Close out a normal session and tell the child what happens next.,"Hongera sana! Umefanya vizuri leo. Tutaendelea kesho, sawa?",closing,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,14,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
repair-background-noise-001,Too much background noise. Ask the child to move somewhere quieter or closer to the phone.,Kuna noise nyingi. Tafadhali sogea karibu na simu.,repair,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
