act_id,prompt,completion,category,tarl_level,audience,max_words,country,curriculum_register,literacy_skill,code_switch_policy,allowed_english_term,literal_target
praise-first-try-paragraph-001,Praise fluent reading of a full paragraph.,Umesoma kifungu vizuri sana. Great job!,praise,paragraph,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,familiar_cue,,
praise-first-try-story-001,Praise finishing a story with strong fluency.,Umeisoma hadithi yote kwa ufasaha. Well done!,praise,story,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,natural_only,,
praise-after-retry-word-001,Praise the child for succeeding after a retry.,Umeweza! Good job kwa kujaribu tena!,praise,word,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,familiar_cue,,
praise-after-retry-syllable-001,Praise the child for succeeding after a retry at syllable level.,Umeisoma vizuri baada ya kujaribu tena. Well done!,praise,letter_syllable,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,familiar_cue,,
praise-comprehension-001,Praise a thoughtful answer to a comprehension question.,"Vizuri sana! Jibu lako ni zuri, umefikiria vizuri!",praise,story,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,none,,
hint-letter-sound-001,Prompt the child to think of the sound the letter makes.,Hebu fikiria: herufi hii ina sauti gani?,hint,beginner,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,none,,
hint-syllable-blend-001,Prompt the child to blend the two sounds in the syllable together.,"Hebu unganisha sauti hizo mbili, then say them together.",hint,letter_syllable,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,technical_term,blend,
hint-word-first-letter-001,Prompt the child to look at the first letter of the word.,Angalia herufi ya kwanza. Inasema nini?,hint,word,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,none,,
hint-word-familiar-001,Suggest the word looks like one they already know.,Neno hili linafanana na unalolijua. Try kukumbuka.,hint,word,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,familiar_cue,,
hint-sentence-context-001,Suggest using the rest of the sentence as a clue for the tricky word.,Soma sentensi yote; maneno mengine yatakupa clue.,hint,paragraph,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,technical_term,clue,
hint-story-context-001,Suggest thinking about what would make sense in the story so far.,Fikiria story yetu. Neno gani linafaa hapa?,hint,story,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,familiar_cue,,
hint-comprehension-001,Suggest thinking back to what happened earlier in the story.,Fikiria kidogo — nini kilitokea mwanzo wa hadithi?,hint,story,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,none,,
correction-letter-soft-001,"Gently correct a misread letter sound without saying ""wrong"".",Ulikaribia! Sikiliza sauti ya herufi hii: mmm. Try again.,correction,beginner,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,familiar_cue,,mmm
correction-syllable-soft-001,Gently correct a misread syllable.,"Karibu! Hebu tusikie tena — sema ""si"", si ""su"".",correction,letter_syllable,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,none,,si; su
correction-word-soft-001,Gently correct a misread word.,"Karibu! Hebu tujaribu tena, soma neno hili polepole.",correction,word,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,none,,
correction-sentence-soft-001,Gently correct a misread sentence within a paragraph.,"Karibu! Hebu jaribu tena, soma sentensi polepole zaidi.",correction,paragraph,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,none,,
correction-model-pronunciation-001,Model the correct pronunciation and ask the child to repeat it.,Sikiliza: ‘shule.’ Sasa repeat after me: ‘shule.’,correction,word,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,technical_term,repeat after me,shule
correction-comprehension-001,Gently correct a misunderstanding without discouraging the child.,"Hmm, hebu tusikie tena — jibu liko karibu sana!",correction,story,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,none,,
level-up-beginner-to-letter-001,Announce moving up from beginner to letter/syllable level.,Hongera! Sasa tunaendelea na silabi. Are you ready?,level_transition,beginner,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,none,,
level-up-letter-to-word-001,Announce moving up from letter/syllable to word level.,Hongera! Sasa tunaendelea kusoma maneno. Ready? Twende!,level_transition,letter_syllable,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,none,,
level-up-word-to-paragraph-001,Announce moving up from word to paragraph level.,Hongera! Sasa tutasoma kifungu kizima. Ready?,level_transition,word,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,natural_only,,
level-up-paragraph-to-story-001,Announce moving up from paragraph to story level.,Hongera! Sasa tutasoma hadithi nzima. Ready? Twende!,level_transition,paragraph,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,familiar_cue,,
level-stay-beginner-001,Reassure the child they're staying at beginner level to build confidence.,Tutaendelea kufanya mazoezi ya sauti za herufi. You’re doing well!,level_transition,beginner,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,familiar_cue,,
level-stay-letter-001,Reassure the child they're staying at letter/syllable level.,Tutaendelea kufanya mazoezi ya silabi. You’re doing well!,level_transition,letter_syllable,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,familiar_cue,,
encourage-tired-001,Encourage a child who seems to be losing focus or getting tired.,"Umefanya vizuri sana! Keep going, tunakaribia mwisho!",encouragement,any,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
encourage-frustrated-001,Reassure a child who seems frustrated after a few misses in a row.,"Usijali, baadhi ya maneno ni magumu. Keep trying, unaweza!",encouragement,any,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
encourage-nervous-001,Reassure a shy or nervous-sounding child before they begin.,Usiwe na wasiwasi; tuko pamoja. Ready? Tuanze!,encouragement,any,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
encourage-halfway-001,"Encourage the child partway through, noting they're doing this well.","Umefika mbali! Keep it up, unaendelea vizuri!",encouragement,any,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
encourage-hard-item-001,Encourage the child before a noticeably harder item.,"Hili ni gumu kidogo, lakini unaweza. Ready?",encouragement,paragraph,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,none,,
closing-session-complete-001,Close out a normal session and tell the child what happens next.,"Hongera sana! Umefanya vizuri leo. Tutaendelea kesho, sawa?",closing,any,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,none,,
closing-session-paused-001,Tell the child the session is being paused and can continue later.,"Tutapumzika hapa. Tutaendelea baadaye, okay?",closing,any,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
closing-session-ended-early-001,Warmly end a session that's stopping earlier than planned.,Umejitahidi leo! Tutaishia hapa na kuendelea wakati mwingine. Bye!,closing,any,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
repair-no-audio-001,Nothing was heard. Ask the child to try again.,"Samahani, sikusikia. Please jaribu tena.",repair,any,child,8,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
repair-too-quiet-001,Audio was too quiet. Ask the child to speak a little louder.,"Sema tena, sauti kubwa zaidi kidogo!",repair,any,child,8,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,none,,
repair-background-noise-001,Too much background noise. Ask the child to move somewhere quieter or closer to the phone.,Kuna noise nyingi. Tafadhali sogea karibu na simu.,repair,any,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,technical_term,noise,
escalate-call-facilitator-001,Alert the facilitator that repeated repair attempts have failed and their attention is needed now.,Tafadhali saidia; repair attempts tatu zimeshindwa.,escalation,any,facilitator,8,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,natural_only,,
escalate-technical-fault-001,"Report a technical fault to the facilitator in plain, factual terms.",Kuna hitilafu ya kiufundi. Session haiwezi kuendelea sasa.,escalation,any,facilitator,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,natural_only,,
facilitator-confirm-level-001,Ask the facilitator to confirm the assigned reading level before it takes effect.,Tafadhali confirm kiwango cha kusoma kabla hakijahifadhiwa.,facilitator,any,facilitator,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,technical_term,level,
facilitator-session-summary-001,Report a brief factual summary of the session's results to the facilitator.,"Session imekamilika: maneno 18 sahihi, makosa 4 kwenye sauti za herufi.",facilitator,any,facilitator,16,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,technical_term,session,
